id;nom;idgenre
284;vincent giovanni;
1701;thomas lilti;
1700;david lynch;
288;philippe larue;
289;olivier assayas;
1704;eve deboise;
1703;elsa amiel;
1702;chun chieh;
292;julien herve;
296;jean-philippe gaud;
297;albert dupontel;
298;lauriane escaffre yvonnick muller;
1711;julie oona;
299;marcella said;
1710;jonathan barre;
1718;jean paul salome;
1716;gabriel aghion;
1713;jalil lespert;
1722;jonathan;
1720;john wax jean-pascal zadi;
1727;shirley monsarrat;
1726;martin bourboulon;
1725;myriam aziza;
1734;patrick cassir;
1732;marie-castille mention-schaar;
1730;vladimir de fontenay/marie monge;
1738;eric metayer;
1736;catherine corsini;
1744;jerome commandeur;
1742;christophe delpias;
1500;stephen cafiero;
1740;stephen woolfenden;
1509;bruno podalydes;
1508;francois uzan;
1507;vladimir rodionoff;
1748;matthieu mares-savelli;
1747;dominic savage;
1755;olivier ayache vidal;
1752;antoinette boulat;
1750;david diane;
1758;avril besson;
1515;gilles paquet brenner;
1767;patrick mario bernard;
1765;zhou nan;
1764;sinan ozturk;
1761;samuel collardey antoine chevrollier mathieu demy helier cisterne;
1760;yann gonzalez;
1529;paul-anthony mille;
1769;didier le pecheurs;
1768;peter cattaneo;
1776;francois ozon;
1773;david oelhoffen;
1530;jean marc brondolo;
1771;andre erkau;
1538;renaud betrand;
1779;sarah marx;
1792;mouloud achour;
1547;wash westmoreland;
1546;paolo barzman;
1544;martin provost;
1786;dan occo;
1542;monsieur chris briant;
1784;eric metayer;
1300;min-ho woo;
1309;arnauld mercadier;
1308;flo ber;
1549;hirokazu kore eda;
1306;lucas bernard;
1316;nadav lapid;
1558;mateo guez;
1315;stephan kopecky;
1798;lea fredeval;
1556;eric lavaine;
1314;mona achache;
1555;juliette tresanini;
1795;jean-marie larrieu;
1551;j.christophe delpias;
1318;mathieu amalric;
1317;agnes obdia;
1570;anne de clercq;
1567;marie monge;
1324;jean-xavier de lestrade;
1565;kery james;
1321;dan mazer;
1320;eleonore pourriat;
901;romane gueret;
902;louis-do lencquesaing;
903;constance meyer;
1329;manuel laigre;
906;julien arnardi;
1328;reem kherici;
907;eric woreth;
909;loic armel colin;
1581;julia rezende;
1337;harry bradbeer;
1336;mukesh chhabra;
1577;marion laine;
1335;david michod;
1575;christian schwochow;
1573;justine triet;
910;pape amadou sy;
917;frederic mermoud;
1110;robert guediguian;
1594;antoine chevrollier;
1593;pascal lahmani;
1591;antoine de bary;
1349;yann gozlan;
1347;jean pierre ameris;
1104;franck brett;
1587;aditya chopra;
1345;cong li;
1102;aritz moreno;
1344;yuri rossi;
1101;matthieu longatte;
1100;didier philippe;
1342;lea fazer;
924;simon istolainen;
927;tristan aurouet thomas bidegain marc fitoussi cyril gelblat vianney lebasque;
928;elia suleiman;
929;francois velle;
1363;flora lau;
1120;julian schnabel;
1362;frederic hazan;
1117;chris briant;
1116;li lu;
1115;gabriel le bomin;
1356;melissa drigeard;
1355;michel blanc;
1354;manousos manousakis;
1353;xavier durringer;
934;franck gastambide;
937;yoann guillouzouic;
1374;julien weille;
1132;ben;
1131;franck ribiere;
1372;hortense motrot pinchon;
1371;goncalo waddington;
1129;sergi portabella;
1128;willy biondani;
1369;laure debutler;
1367;meliane marcaggi;
1125;maxime charden laurene dervieux;
940;florent bernard;
1365;philippe lioret;
944;zhou gao wu;
945;ken biller;
703;pascal sid;
704;chris clough;
949;sylvie ohayon;
708;madame kamir ainouz;
709;marjory dejardin;
1385;jouy samuel;
1378;alfred lot;
951;bouvard viret;
710;sylvie verheyde;
1134;cedric klapisch;
1375;renaud bertrand;
954;eric judor;
712;naidra ayadi;
713;gabor reisz;
715;thomas langmann;
716;marie noelle sehr;
718;renaud bertrand;
1154;tristan aurouet thomas bidegain marc fitoussi cyril gelblat vianney lebasque;
1152;stevan lee mraovitch;
1150;yvan attal;
1387;olivier meys;
723;hiroshi nishatani;
967;eva husson;
969;nathalie marchak;
727;hall hartley;
728;rachid hami;
