id;titre;annee;genre;auteur;lieu;note
8542;the romanoffs;2018;1;1479;8542;7.0
6364;blackpills/raising hitler;;;1283;6364;-1.0
8540;chroniques parisiennes 16;;;0;8540;-1.0
6363;additif dt_40626 astrid et raphaelle saison 2;;;1880;6363;-1.0
8545;baron noir;2016;1;401;8545;7.8
8546;ru ying sui xin;;;1001;8546;-1.0
8543;chroniques parisiennes;2015;15;0;8543;-1.0
1909;h24;2020;1;1703;1909;4.9
8544;je ne suis pas un homme facile;;;1320;8544;-1.0
4181;whiskey cavalier;2019;10;146;4181;7.1
8538;un cadeau du ciel;;;699;8538;-1.0
8536;garde alternee;;;1097;8536;-1.0
8537;un cadeau du ciel;;;0;8537;-1.0
7209;engrenages saison 8;;;0;7209;-1.0
8552;premieres vacances;1967;15;1734;8552;-1.0
7220;cantabile youth;;;1702;7220;-1.0
7222;le bureau des legendes saison 5;;;1213;7222;-1.0
8550;un adultere;;;1440;8550;-1.0
8551;nox;2018;11;832;8551;6.6
8556;voyez comme on danse;;;1355;8556;-1.0
8554;bad poems;2018;7;713;8554;7.7
8555;voltaire;1933;8;1740;8555;6.4
8549;find me in paris 2;;;0;8549;-1.0
8548;jewell stone;;;1015;8548;-1.0
1911;tournage 750gr - marche d'aligre;;;220;1911;-1.0
8563;les joueurs;2006;15;0;8563;-1.0
8564;territoires;2017;14;1773;8564;-1.0
7233;astrid et raphaelle saison 2;;;0;7233;-1.0
8561;betes blondes;;;180;8561;-1.0
8562;vingt-cinq;2018;7;396;8562;6.4
7232;gauguin;1950;14;1686;7232;6.4
8567;l'amour est une fete;;;1496;8567;-1.0
8568;love addict;2018;7;1481;8568;5.1
8565;sun;1987;10;1722;8565;7.7
8566;skam;2017;1;0;8566;8.6
8560;arthur dans la foret;;;1214;8560;-1.0
8558;ecole de cuisine;;;944;8558;-1.0
8559;at eternity's gate;2018;8;1120;8559;6.9
8574;sun;1987;10;78;8574;7.7
8575;joueurs;1897;15;1567;8575;5.4
8573;une jeunesse doree;;;1483;8573;-1.0
8578;lrdm - patriot season 2;;;1278;8578;-1.0
8579;mystere place vendome, partie 2;;;1375;8579;-1.0
8576;mathieu et thomas contre le monde entier;;;487;8576;-1.0
7247;la menace;1977;10;1469;7247;6.6
6393;irreductible;2021;7;1744;6393;-1.0
8569;lebowitz contre lebowitz 2;;;0;8569;-1.0
1933;un medecin de nuit;;;0;1933;-1.0
8101;premiere annee;2010;14;0;8101;-1.0
7252;fertile crescent;2014;15;546;7252;-1.0
5075;shadow boxing;1993;15;811;5075;6.6
8102;l'un dans l'autre;1999;15;1086;8102;5.5
8583;un peuple et son roi;;;1250;8583;-1.0
8584;dans les bois-l'oree;2016;15;174;8584;-1.0
7256;qu'est-ce qu'on attend pour etre heureux;1982;7;553;7256;5.8
