key_film;TITRE;AUTEUR;nbEmprunt;annee_tournage;type_tournage;imdbid;year;rating
9036;romance &amp  cigarettes;;;;;0368222;2005;3
9037;captain america 3 : civil war;russo, anthony;537;;;;;
9038;taxi teheran;panahi, jafar;444;;;;;
9039;fantasia;;;;;0032455;1940;0
9040;l.a. story;;;;;0102250;1991;3
8886;simone benloulou;myriam aziza;;2016;long metrage;;;
9041;a royal affair;;;;;1276419;2012;3
9042;dumbo;burton, tim;98;;;;;
9043;last word, the;;;;;5023260;2017;3
9044;jaws: the revenge;;;;;0093300;1987;3
9045;upgrade;;;;;6499752;2018;2
9046;gorillas in the mist;;;;;0095243;1988;3
9047;dogville;;;;;0276919;2003;3
9048;shutter island;;;;;1130884;2010;1
9049;animal kingdom;;;;;1313092;2010;1
9050;hello, my name is doris;;;;;3766394;2015;3
9051;my little pony: equestria girls - rainbow rocks;;;;;3529198;2014;3
9052;all of me;;;;;0086873;1984;2
9053;camille redouble;lvovsky, noaemie;197;;;;;
9054;bedazzled;;;;;0061391;1967;3
9055;thanks for sharing;;;;;1932718;2013;2
9056;american outlaws;;;;;0244000;2001;1
9057;la prochaine fois je viserai le coeur;anger, cedric;412;;;;;
9058;budori : l aetrange voyage;sugii, gisaburo;122;;;;;
2106;chroniques parisiennes 22;zabou breitman;;2017;serie tv;;;
9059;la premiere etoile;jean-baptiste, lucien;774;;;;;
9060;la famille belier;lartigau, eric;1016;;;;;
9061;clash of the titans;;;;;0800320;2010;3
9062;okuribito (departures);;;;;1069238;2008;3
9063;hungry hearts;;;;;3344922;2014;2
9064;steve jobs;;;;;2080374;2015;3
9065;navigator, the;;;;;0015163;1924;0
8900;plan coeur s2;noemie saglio - renaud bertrand;;2019;serie tv;;;
9066;poison ivy ii;;;;;0114151;1996;3
9067;fantastic four, the;;;;;0109770;1994;1
9068;casino;;;;;0112641;1995;2
9069;suicide club;;;;;0312843;2001;3
9070;cabaret;;;;;0068327;1972;3
9071;daikaiju gamera;;;;;0059080;1965;2
9072;epidemic;;;;;0092972;1987;1
9073;rien de personnel;gokalp, mathias;119;;;;;
9074;les douze travaux d&#146 ast&eacute rix (the twelve tasks of asterix);;;;;0072901;1976;1
9075;spirit of the beehive, the;;;;;0070040;1973;3
9076;une fille facile;;;;;9632590;2019;3
9077;dragon ball z: battle of gods;;;;;2263944;2013;3
9078;panique a hollywood;levinson, barry;119;;;;;
9079;black gold;;;;;1701210;2011;0
9080;herbie fully loaded;;;;;0400497;2005;3
9081;small town murder songs;;;;;1429392;2010;3
9082;parvana : une enfance en afghanistan;twomey, nora;320;;;;;
9083;interstellar;nolan, christopher;1260;;;;;
9084;lost angel;;;;;2796584;2013;0
9085;coup d'&eacute clat;;;;;1900856;2011;3
9086;quien te cantara;;;;;6485304;2018;3
9087;tiger eyes;;;;;1748260;2012;3
9088;moi, moche et mechant 3;balda, kyle;271;;;;;
9089;blade;;;;;0120611;1998;1
9090;watching the detectives;;;;;0472205;2007;1
9091;le traone de fer. saison 5, intaegrale;benioff, david;120;;;;;
9092;d.o.a.;;;;;0042369;1950;1
9093;le fils de l epicier;guirado, eric;118;;;;;
9094;lovely molly;;;;;1707392;2011;3
9095;w.e.;;;;;1536048;2011;3
7978;barbara;mathieu amalric;;2016;long metrage;;;
9096;immigrant, the;;;;;1951181;2013;3
9097;watch on the rhine;;;;;0036515;1943;3
9098;black sheep;;;;;0779982;2006;1
9099;howards end;;;;;0104454;1992;3
9100;le pass&eacute ;;;;;2404461;2013;3
9101;winnie the pooh;;;;;1449283;2011;0
9102;christiane f. - wir kinder vom bahnhof zoo;;;;;0082176;1981;3
9103;bewitched;;;;;0374536;2005;3
9104;catch me if you can;;;;;0264464;2002;2
9105;ensemble, c'est tout;;;;;0792965;2007;3
9106;aruvi;;;;;5867800;2016;3
9107;justice league: throne of atlantis;;;;;3878542;2015;3
9108;boy meets girl;;;;;3007302;2014;3
9109;fly away home;;;;;0116329;1996;3
9110;unloved, the;;;;;1268989;2009;3
9111;boxtrolls, the;;;;;0787474;2014;2
9112;good morning, vietnam;;;;;0093105;1987;1
9113;forrest gump;zemeckis, robert;131;;;;;
9114;good vibrations;;;;;1920945;2012;3
9115;le voyage dans la lune;;;;;0000417;1902;0
9116;dexter. saison 3, integrale;manos, james jr;161;;;;;
9117;dishonored lady;;;;;0039324;1947;3
9118;innocents, the;;;;;0055018;1961;3
9119;love per square foot;;;;;7853242;2018;3
9120;megamind;;;;;1001526;2010;0
9121;memoirs of a geisha;;;;;0397535;2005;3
9122;beyond the hills;;;;;2258281;2012;3
9123;le tableau;laguionie, jean-frandcois;78;;;;;
9124;go fish;;;;;0109913;1994;3
9125;first man;;;;;1213641;2018;3
9126;muppet movie, the;;;;;0079588;1979;2
9127;grizzly park;;;;;0915460;2008;3
9128;dead &amp  deader;;;;;0770739;2006;1
9129;wheelman;;;;;5723286;2017;1
9130;citadel;;;;;1641975;2012;1
9131;wild thornberrys movie, the;;;;;0282120;2002;3
9132;young guns;;;;;0096487;1988;1
9133;to be or not to be;;;;;0035446;1942;0
9134;awakening, the;;;;;1687901;2011;3
7927;la piece rapportee;antonin peretjatko;;2019;long metrage;;;
