key_lieu;id_lieu;adresse_lieu;ardt_lieu;coord_x;coord_y;geo_shape;geo_point_2d
42;2017-190;1 rue des montiboeufs, 75020 paris;75020;2.4057403;48.866135;"{""type"": ""Point"", ""coordinates"": [2.405740249771246, 48.86613518817533]}";48.8661351882,2.40574024977
43;2017-197;2 rue turgot, 75009 paris;75009;2.3456388;48.879887;"{""type"": ""Point"", ""coordinates"": [2.345638651005026, 48.87988846874771]}";48.8798884687,2.34563865101
44;2017-205;20 rue du temple, 75004 paris;75004;2.353597;48.858696;"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}";48.8586970454,2.35359686051
45;2017-206;105 rue de tolbiac, 75013 paris;75013;2.3646994;48.82661;"{""type"": ""Point"", ""coordinates"": [2.36469941487311, 48.82661227982868]}";48.8266122798,2.36469941487
46;2017-232;172 boulevard saint-germain, 75006 paris;75006;2.3325608;48.854134;"{""type"": ""Point"", ""coordinates"": [2.332560661293841, 48.85413488409174]}";48.8541348841,2.33256066129
47;2017-255;place de la sorbonne, 75005 paris;75005;2.34226;48.84866;"{""type"": ""Point"", ""coordinates"": [2.342259900202478, 48.84866091566869]}";48.8486609157,2.3422599002
48;2017-256;20 rue du temple, 75004 paris;75004;2.353597;48.858696;"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}";48.8586970454,2.35359686051
49;2017-127;7 rue gomboust, 75001 paris;75001;2.3327029;48.86731;"{""type"": ""Point"", ""coordinates"": [2.332702765483341, 48.86731080761644]}";48.8673108076,2.33270276548
50;2017-5;55 rue baudricourt, 75013 paris;75013;2.363135;48.82577;"{""type"": ""Point"", ""coordinates"": [2.363135199592029, 48.82577113005028]}";48.8257711301,2.36313519959
51;2017-21;place blanche, 75009 paris;75009;2.3324084;48.88363;"{""type"": ""Point"", ""coordinates"": [2.332408458012074, 48.883629393823945]}";48.8836293938,2.33240845801
52;2017-39;29 rue des vinaigriers, 75010 paris;75010;2.3625376;48.8731;"{""type"": ""Point"", ""coordinates"": [2.3625376435397802, 48.87310136620664]}";48.8731013662,2.36253764354
53;2017-58;29 rue berthe, 75018 paris;75018;2.340464;48.88534;"{""type"": ""Point"", ""coordinates"": [2.340464090163196, 48.88534198225594]}";48.8853419823,2.34046409016
54;2017-308;20 rue des gardes, 75018 paris;75018;2.353016;48.886147;"{""type"": ""Point"", ""coordinates"": [2.353015966114548, 48.88614587302521]}";48.886145873,2.35301596611
55;2017-317;18 place vendome, 75001 paris;75001;2.3304095;48.86741;"{""type"": ""Point"", ""coordinates"": [2.330409593084024, 48.867409465203956]}";48.8674094652,2.33040959308
56;2017-320;rue des carmes, 75005 paris;75005;2.3478408;48.849667;"{""type"": ""Point"", ""coordinates"": [2.347840799444019, 48.849668402860345]}";48.8496684029,2.34784079944
57;2017-335;48 avenue du docteur arnold netter, 75012 paris;75012;2.4057195;48.844063;"{""type"": ""Point"", ""coordinates"": [2.405719447864053, 48.84406451064705]}";48.8440645106,2.40571944786
58;2017-342;1 rue des perichaux, 75015 paris;75015;2.2968118;48.83088;"{""type"": ""Point"", ""coordinates"": [2.296811749946997, 48.83087878467048]}";48.8308787847,2.29681174995
59;2017-344;66 rue de rivoli, 75004 paris;75004;2.3522246;48.857445;"{""type"": ""Point"", ""coordinates"": [2.352224559626654, 48.85744337755998]}";48.8574433776,2.35222455963
60;2017-350;rue de caumartin, 75009 paris;75009;2.3284037;48.874203;"{""type"": ""Point"", ""coordinates"": [2.328403798091402, 48.87420396086843]}";48.8742039609,2.32840379809
61;2017-351;17 rue pajol, 75018 paris;75018;2.3607311;48.885906;"{""type"": ""Point"", ""coordinates"": [2.360731138343361, 48.88590672398592]}";48.885906724,2.36073113834
62;2017-283;jardins du trocadero, 75116 paris;75116;2.2881186;48.86087;"{""type"": ""Point"", ""coordinates"": [2.28811871013665, 48.860869460293564]}";48.8608694603,2.28811871014
63;2017-290;passage josset, 75011 paris;75011;2.376575;48.852642;"{""type"": ""Point"", ""coordinates"": [2.376575089747718, 48.85264130964355]}";48.8526413096,2.37657508975
64;2017-154;60 boulevard de belleville, 75020 paris;75020;2.380829;48.869286;"{""type"": ""Point"", ""coordinates"": [2.380829151549554, 48.869286936913504]}";48.8692869369,2.38082915155
65;2017-174;172 avenue ledru-rollin, 75011 paris;75011;2.3796701;48.85709;"{""type"": ""Point"", ""coordinates"": [2.379670187807514, 48.85709086797583]}";48.857090868,2.37967018781
66;2017-515;104 avenue ledru-rollin, 75011 paris;75011;2.376914;48.852333;"{""type"": ""Point"", ""coordinates"": [2.376914068744148, 48.852334417658895]}";48.8523344177,2.37691406874
67;2017-530;quai d'orsay, 75007 paris;75007;2.3099587;48.862568;"{""type"": ""Point"", ""coordinates"": [2.309958629685734, 48.86256833510384]}";48.8625683351,2.30995862969
